,Accuracy,AUC-ROC,AUC-PR,F1-Score,MCC,Cohen's ,TSS,Brier Score,Sensitivity,Specificity
RF,0.9367657722987672,0.9735225116857633,0.9601748117793222,0.8973634651600754,0.8557153499043925,0.8519489693723253,0.8253497236505192,0.06797896127103496,0.8426171529619806,0.9827325706885387
C: Top-3 Stacking,0.9357505438723713,0.9622802186215333,0.9393026996841314,0.8964227262099602,0.8530651949532136,0.850079672406892,0.8263275051942558,0.056205467990359526,0.8474801061007957,0.97884739909346
B: Top-3 Weighted,0.9341551849166062,0.9762789453203797,0.9633220602296634,0.8920076117982874,0.8501266518501602,0.8450406247778572,0.8144509947951524,0.053607666186420606,0.8289124668435013,0.9855385279516512
A: Top-3 Average,0.9341551849166062,0.9762786590566311,0.9633240247650212,0.8920076117982874,0.8501266518501602,0.8450406247778572,0.8144509947951524,0.05361298390414221,0.8289124668435013,0.9855385279516512
Original Ensemble,0.9341551849166062,0.9762786590566311,0.9633240247650212,0.8920076117982874,0.8501266518501602,0.8450406247778572,0.8144509947951524,0.05361298390414221,0.8289124668435013,0.9855385279516512
LightGBM,0.9327048585931834,0.9761375310286048,0.9627125158123473,0.8896289248334919,0.8466929067897772,0.8416274226804532,0.8111613472182702,0.05224076220972185,0.8267020335985853,0.9844593136196849
XGBoost,0.9311094996374184,0.9759276042796814,0.9615883288791836,0.8863364441253888,0.8432976225165527,0.8373957765326328,0.8047146876013254,0.054021758418113915,0.8187444739168878,0.9859702136844377
D: All Soft Vote,0.9257432922407541,0.975747448960605,0.9621813379240474,0.8754257907542579,0.8318294002637845,0.8232944897957754,0.7847375810675081,0.06450635989844578,0.7953138815207781,0.9894236995467299
E: Rank Fusion,0.827701232777375,0.9767738953415919,0.9639212085769694,0.7880085653104925,0.6870822430127788,0.6517376510881716,0.7313615104649438,0.1200114991771549,0.9761273209549072,0.7552341895100367
CatBoost,0.7941986947063089,0.9374715048293649,0.8979913345902907,0.551375276636105,0.5282882543638862,0.4482525874002362,0.3792401147879463,0.1417179064476071,0.385499557913351,0.9937405568745953
